secret,cycles,weight
L183,3,473.5892
L184,4,465.7615
L185,4,458.0631
L186,4,450.4920
L187,4,443.0460
L188,4,435.7231
L189,4,428.5213
L190,4,421.4384
L191,4,414.4727
L192,4,407.6220
L193,4,400.8846
L194,4,394.2586
L195,4,387.7421
L196,4,381.3333
L197,4,375.0304
L198,4,368.8317
L199,4,362.7354
L200,4,356.7399
L201,4,350.8435
L202,4,345.0446
L203,4,339.3415
L204,4,333.7327
L205,4,328.2166
L206,4,322.7916
L207,4,317.4564
L208,4,312.2093
L209,4,307.0489
L210,4,301.9738
L211,4,296.9826
L212,4,292.0740
L213,4,287.2464
L214,4,282.4986
L215,4,277.8293
L216,4,273.2372
L217,4,268.7210
L218,4,264.2794
L219,4,259.9113
L220,4,255.6153
L221,4,251.3904
L222,4,247.2353
L223,4,243.1488
L224,4,239.1299
L225,4,235.1775
L226,4,231.2903
L227,4,227.4674
L228,4,223.7077
L229,4,220.0102
L230,4,216.3737
L231,4,212.7974
L232,4,209.2801
L233,4,205.8210
L234,4,202.4191
L235,4,199.0734
L236,4,195.7830
L237,4,192.5470
L238,4,189.3645
L239,4,186.2346
L240,4,183.1564
L241,4,180.1291
L242,4,177.1518
L243,4,174.2237
L244,4,171.3441
L245,4,168.5120
L246,4,165.7268
L247,4,162.9875
L248,5,160.2936
L249,5,157.6442
L250,5,155.0385
L251,5,152.4760
L252,5,149.9558
L253,5,147.4772
L254,5,145.0396
L255,5,142.6423
L256,5,140.2847
L257,5,137.9660
L258,5,135.6856
L259,5,133.4429
L260,5,131.2373
L261,5,129.0681
L262,5,126.9348
L263,5,124.8368
L264,5,122.7734
L265,5,120.7441
L266,5,118.7484
L267,5,116.7857
L268,5,114.8554
L269,5,112.9570
L270,5,111.0900
L271,5,109.2538
L272,5,107.4480
L273,5,105.6720
L274,5,103.9254
L275,5,102.2077
L276,5,100.5184
L277,5,98.8569
L278,5,97.2230
L279,5,95.6160
L280,5,94.0356
L281,5,92.4814
L282,5,90.9528
L283,5,89.4495
L284,5,87.9710
L285,5,86.5170
L286,5,85.0870
L287,5,83.6806
L288,5,82.2975
L289,5,80.9372
L290,5,79.5994
L291,5,78.2838
L292,5,76.9899
L293,5,75.7173
L294,5,74.4658
L295,5,73.2350
L296,5,72.0246
L297,5,70.8341
L298,5,69.6633
L299,5,68.5119
L300,5,67.3795
L301,5,66.2658
L302,5,65.1705
L303,5,64.0933
L304,5,63.0340
L305,5,61.9921
L306,5,60.9675
L307,5,59.9598
L308,5,58.9687
L309,5,57.9940
L310,5,57.0355
L311,5,56.0928
L312,6,55.1656
L313,6,54.2538
L314,6,53.3571
L315,6,52.4752
L316,6,51.6078
L317,6,50.7548
L318,6,49.9159
L319,6,49.0909
L320,6,48.2795
L321,6,47.4815
L322,6,46.6967
L323,6,45.9249
L324,6,45.1658
L325,6,44.4193
L326,6,43.6851
L327,6,42.9630
L328,6,42.2529
L329,6,41.5546
L330,6,40.8677
L331,6,40.1922
L332,6,39.5279
L333,6,38.8746
L334,6,38.2320
L335,6,37.6001
L336,6,36.9786
L337,6,36.3674
L338,6,35.7663
L339,6,35.1752
L340,6,34.5938
L341,6,34.0220
L342,6,33.4597
L343,6,32.9066
L344,6,32.3627
L345,6,31.8278
L346,6,31.3017
L347,6,30.7844
L348,6,30.2755
L349,6,29.7751
L350,6,29.2830
L351,6,28.7990
L352,6,28.3230
L353,6,27.8548
L354,6,27.3944
L355,6,26.9417
L356,6,26.4964
L357,6,26.0584
L358,6,25.6277
L359,6,25.2041
L360,6,24.7875
L361,6,24.3778
L362,6,23.9749
L363,6,23.5786
L364,6,23.1889
L365,6,22.8056
L366,6,22.4287
L367,6,22.0580
L368,6,21.6934
L369,6,21.3348
L370,6,20.9822
L371,6,20.6354
L372,6,20.2943
L373,6,19.9589
L374,6,19.6290
L375,6,19.3045
L376,7,18.9855
L377,7,18.6717
L378,7,18.3630
L379,7,18.0595
L380,7,17.7610
L381,7,17.4675
L382,7,17.1788
L383,7,16.8948
L384,7,16.6156
L385,7,16.3409
L386,7,16.0708
L387,7,15.8052
L388,7,15.5440
L389,7,15.2871
L390,7,15.0344
L391,7,14.7859
L392,7,14.5415
L393,7,14.3012
L394,7,14.0648
L395,7,13.8323
L396,7,13.6037
L397,7,13.3788
L398,7,13.1577
L399,7,12.9402
L400,7,12.7263
L401,7,12.5160
L402,7,12.3091
L403,7,12.1057
L404,7,11.9056
L405,7,11.7088
L406,7,11.5153
L407,7,11.3249
L408,7,11.1378
L409,7,10.9537
L410,7,10.7726
L411,7,10.5946
L412,7,10.4194
L413,7,10.2472
L414,7,10.0779
L415,7,9.9113
L416,7,9.7475
L417,7,9.5864
L418,7,9.4279
L419,7,9.2721
L420,7,9.1188
L421,7,8.9681
L422,7,8.8199
L423,7,8.6741
L424,7,8.5307
L425,7,8.3897
L426,7,8.2510
L427,7,8.1147
L428,7,7.9805
L429,7,7.8486
L430,7,7.7189
L431,7,7.5913
L432,7,7.4659
L433,7,7.3425
L434,7,7.2211
L435,7,7.1017
L436,7,6.9844
L437,7,6.8689
L438,7,6.7554
L439,7,6.6437
L440,8,6.5339
L441,8,6.4259
L442,8,6.3197
L443,8,6.2153
L444,8,6.1125
L445,8,6.0115
L446,8,5.9121
L447,8,5.8144
L448,8,5.7183
L449,8,5.6238
L450,8,5.5308
L451,8,5.4394
L452,8,5.3495
L453,8,5.2611
L454,8,5.1741
L455,8,5.0886
L456,8,5.0045
L457,8,4.9218
L458,8,4.8404
L459,8,4.7604
L460,8,4.6818
L461,8,4.6044
L462,8,4.5283
L463,8,4.4534
L464,8,4.3798
L465,8,4.3074
L466,8,4.2362
L467,8,4.1662
L468,8,4.0973
L469,8,4.0296
L470,8,3.9630
L471,8,3.8975
L472,8,3.8331
L473,8,3.7697
L474,8,3.7074
L475,8,3.6462
L476,8,3.5859
L477,8,3.5266
L478,8,3.4683
L479,8,3.4110
L480,8,3.3546
L481,8,3.2992
L482,8,3.2446
L483,8,3.1910
L484,8,3.1383
L485,8,3.0864
L486,8,3.0354
L487,8,2.9852
L488,8,2.9359
L489,8,2.8874
L490,8,2.8396
L491,8,2.7927
L492,8,2.7465
L493,8,2.7011
L494,8,2.6565
L495,8,2.6126
L496,8,2.5694
L497,8,2.5269
L498,8,2.4852
L499,8,2.4441
L500,8,2.4037
L501,8,2.3640
L502,8,2.3249
L503,8,2.2865
L504,9,2.2487
L505,9,2.2115
L506,9,2.1750
L507,9,2.1390
L508,9,2.1036
L509,9,2.0689
L510,9,2.0347
L511,9,2.0011
L512,9,1.9680
